technique,major,score
POM,STEM,5
POM,STEM,6
POM,STEM,5
POM,STEM,4
POM,STEM,3
POM,STEM,7
POM,STEM,5
POM,STEM,6
POM,STEM,4
POM,STEM,5
POM,STEM,6
POM,STEM,5
POM,STEM,4
POM,STEM,6
POM,STEM,4
POM,STEM,3
POM,STEM,7
POM,STEM,1
POM,STEM,9
POM,STEM,6
EISEN,STEM,6
EISEN,STEM,7
EISEN,STEM,7
EISEN,STEM,8
EISEN,STEM,6
EISEN,STEM,7
EISEN,STEM,8
EISEN,STEM,7
EISEN,STEM,4
EISEN,STEM,9
EISEN,STEM,10
EISEN,STEM,7
EISEN,STEM,8
EISEN,STEM,7
EISEN,STEM,8
EISEN,STEM,9
EISEN,STEM,7
EISEN,STEM,6
EISEN,STEM,10
EISEN,STEM,9
TBLOCK,STEM,4
TBLOCK,STEM,4
TBLOCK,STEM,3
TBLOCK,STEM,4
TBLOCK,STEM,5
TBLOCK,STEM,3
TBLOCK,STEM,6
TBLOCK,STEM,4
TBLOCK,STEM,3
TBLOCK,STEM,5
TBLOCK,STEM,5
TBLOCK,STEM,6
TBLOCK,STEM,4
TBLOCK,STEM,3
TBLOCK,STEM,3
TBLOCK,STEM,4
TBLOCK,STEM,6
TBLOCK,STEM,5
TBLOCK,STEM,4
TBLOCK,STEM,4
POM,HUM,5
POM,HUM,6
POM,HUM,4
POM,HUM,4
POM,HUM,6
POM,HUM,5
POM,HUM,3
POM,HUM,1
POM,HUM,7
POM,HUM,9
POM,HUM,6
POM,HUM,5
POM,HUM,5
POM,HUM,4
POM,HUM,5
POM,HUM,5
POM,HUM,6
POM,HUM,4
POM,HUM,6
EISEN,HUM,3
EISEN,HUM,4
EISEN,HUM,5
EISEN,HUM,5
EISEN,HUM,4
EISEN,HUM,3
EISEN,HUM,6
EISEN,HUM,4
EISEN,HUM,5
EISEN,HUM,3
EISEN,HUM,3
EISEN,HUM,4
EISEN,HUM,5
EISEN,HUM,4
EISEN,HUM,3
EISEN,HUM,4
EISEN,HUM,4
EISEN,HUM,5
EISEN,HUM,6
TBLOCK,HUM,7
TBLOCK,HUM,8
TBLOCK,HUM,7
TBLOCK,HUM,4
TBLOCK,HUM,8
TBLOCK,HUM,9
TBLOCK,HUM,7
TBLOCK,HUM,9
TBLOCK,HUM,7
TBLOCK,HUM,8
TBLOCK,HUM,8
TBLOCK,HUM,9
TBLOCK,HUM,7
TBLOCK,HUM,6
TBLOCK,HUM,7
TBLOCK,HUM,7
TBLOCK,HUM,8
TBLOCK,HUM,9
TBLOCK,HUM,5
TBLOCK,HUM,7
TBLOCK,HUM,8
TBLOCK,HUM,8
