id,meditation,happiness,stress,liking,gender,hhincome,motivation
1,107,54,43,41,0,57,6.61
2,13,42,69,48,1,120,2.15
3,93,58,43,51,0,111,6.37
4,90,48,51,41,0,78,8.71
5,76,37,61,62,0,70,7.73
6,61,37,58,54,0,114,4
7,68,44,44,50,0,60,3.4
8,64,32,53,68,0,114,2.9
9,93,54,41,50,1,76,8.74
10,76,47,46,42,0,52,1.45
11,80,47,52,52,0,105,1.03
12,74,36,61,43,1,109,8.49
13,81,59,44,52,1,44,6.18
14,83,56,52,52,1,54,2.37
15,16,23,60,42,0,78,7.82
16,126,78,31,54,1,99,7.52
17,107,66,43,62,0,94,7.89
18,104,41,59,58,1,48,7.52
19,69,41,55,61,1,76,1.71
20,107,68,35,55,1,36,6.19
21,80,48,42,62,0,49,7.23
22,86,55,58,42,1,59,5.78
23,47,48,58,55,1,59,1.01
24,137,55,34,59,1,105,8.15
25,93,54,51,61,1,42,6.32
26,152,57,33,55,1,118,4.04
27,143,72,45,58,1,76,2.22
28,90,54,37,44,0,100,7.92
29,107,69,46,51,1,105,2.44
30,142,73,40,28,0,86,6.51
31,78,42,54,53,1,32,5.87
32,97,55,54,74,1,103,2.82
33,80,61,50,29,1,107,6.74
34,101,61,53,51,1,60,5.71
35,98,50,48,53,0,41,7.09
36,127,63,49,38,1,65,4.44
37,106,60,35,44,0,76,5.85
38,65,37,44,27,0,90,2.89
39,112,56,58,63,1,110,5.75
40,66,52,63,46,1,95,3.26
41,61,40,76,54,1,116,3.95
42,113,59,37,42,0,81,1.03
43,60,33,70,53,1,32,1.47
44,103,47,44,52,1,42,3.23
45,64,53,53,61,0,42,1.39
46,137,65,54,61,1,69,2.51
47,111,66,48,47,1,60,7.76
48,76,55,48,53,1,92,4.79
49,115,53,32,51,0,69,5.01
50,102,61,42,57,0,33,2.5
51,57,46,65,42,1,33,7.98
52,84,54,52,48,1,69,1.58
53,61,53,57,41,0,83,5.58
54,107,56,57,58,1,55,6.7
55,67,55,42,52,0,82,1.04
56,84,52,50,35,1,49,3.49
57,49,50,43,54,0,71,4.15
58,66,36,60,69,0,50,3.37
59,95,54,49,60,1,115,5.31
60,66,26,50,44,1,47,1.04
61,80,70,42,39,0,59,5.13
62,96,52,45,41,0,30,2.06
63,87,37,33,71,0,98,1.8
64,86,44,59,64,0,73,3.11
65,31,48,36,42,0,92,4.59
66,76,71,48,29,1,73,2.92
67,31,48,49,46,0,80,7.33
68,122,73,39,36,1,77,3.99
69,63,44,68,54,1,61,2.62
70,97,53,54,52,1,83,8.33
71,116,27,44,50,0,75,8.07
72,90,57,50,58,1,52,2.32
73,132,66,44,41,1,64,5.09
74,72,25,57,55,0,45,2.36
75,110,46,57,43,1,94,3.23
76,64,37,57,54,1,75,8.96
77,159,63,40,56,1,57,1.29
78,111,63,46,48,1,103,3.49
79,83,46,56,48,0,120,8.14
80,119,44,40,56,1,65,7.86
81,49,60,45,41,0,116,2.12
82,137,56,28,47,1,78,3.78
83,54,48,52,41,0,47,3.7
84,42,44,55,40,0,54,5.15
85,91,48,52,24,1,52,5.1
86,118,68,63,49,1,85,7.96
87,90,63,59,53,1,114,8.29
88,65,54,48,41,0,76,5.61
89,128,64,49,56,1,43,3.42
90,163,71,26,61,0,107,4.41
91,33,33,60,58,1,67,5.27
92,136,66,45,52,1,42,2.32
93,82,32,53,53,1,82,2.93
94,119,69,44,43,1,58,4.08
95,32,45,53,55,0,92,4.77
96,85,45,50,58,0,85,8.98
97,61,48,55,67,0,112,6.11
98,79,43,58,60,0,57,1.76
99,56,52,54,61,1,86,1.05
100,102,61,50,66,1,51,1.66
101,133,47,40,53,0,81,7.63
102,73,56,47,48,0,84,1.55
103,90,42,65,62,1,33,6.62
104,56,49,55,43,0,48,4.56
105,114,81,39,43,1,118,6.55
106,107,60,41,53,1,71,8.6
107,43,42,59,57,1,114,4.74
108,132,73,34,49,0,115,8.62
109,50,55,46,53,1,66,7.51
110,58,56,71,38,1,76,4.54
111,51,32,69,54,1,42,6.52
112,46,55,30,46,0,83,4.2
113,76,57,40,24,0,47,8.4
114,102,70,39,44,1,96,8.58
115,72,39,55,62,0,95,3.6
116,85,51,49,69,1,97,1.41
117,80,62,53,44,1,53,1.12
118,124,69,40,58,1,116,6.1
119,162,66,35,53,1,111,4.14
120,60,39,56,54,0,104,6.73
121,151,64,43,48,1,33,5.01
122,154,76,37,57,0,117,4.55
123,96,65,53,65,0,115,7.3
124,113,72,38,38,1,37,6.24
125,46,19,68,63,0,61,4.03
126,106,56,51,40,1,90,6.16
127,76,46,54,56,0,92,5.87
128,82,59,41,39,1,33,6.71
129,107,56,38,46,0,55,6.67
130,124,66,55,58,1,42,2.28
131,87,60,46,64,1,89,4.76
132,170,76,27,59,0,96,7.44
133,104,67,36,42,0,74,1.6
134,87,54,64,52,1,46,5.59
135,100,69,42,58,1,98,5.23
136,82,62,32,42,0,74,8.87
137,58,48,62,63,0,105,1.26
138,107,54,46,46,0,116,6.87
139,117,70,43,45,0,80,5.14
140,102,54,40,58,1,66,3.48
141,96,64,30,35,1,106,2.93
142,101,43,56,72,0,99,3.97
143,110,72,29,27,0,45,2.82
144,52,44,57,60,0,34,7.33
145,121,68,24,65,0,56,3.5
146,58,56,40,52,0,50,5.98
147,101,61,56,55,0,103,5.33
148,112,70,50,48,1,117,5.06
149,102,49,54,68,1,55,2.03
150,39,51,53,47,0,79,3.88
151,96,42,54,59,0,50,7.64
152,103,53,52,53,1,72,2.55
153,117,72,40,43,1,107,6.8
154,103,61,37,58,0,105,5.71
155,105,62,35,45,0,117,5.4
156,120,70,29,28,1,46,2.79
157,75,37,62,71,1,108,2.97
158,81,24,58,49,1,92,2.69
159,92,54,60,44,1,61,4.41
160,94,79,45,50,1,79,4.5
161,133,64,34,63,1,44,6.28
162,61,57,50,47,1,118,2.72
163,66,41,55,56,0,104,1.95
164,115,53,36,66,1,39,5.36
165,78,53,53,57,0,36,4.33
166,85,54,56,47,1,111,2.87
167,113,60,69,53,1,49,4.77
168,75,45,58,64,1,72,5.74
169,70,47,55,58,1,95,3.36
170,81,54,42,59,0,62,5.21
171,78,58,55,77,1,44,7.46
172,70,50,54,57,0,107,2.08
173,121,55,51,66,0,46,5.03
174,72,59,42,44,0,97,5.38
175,91,58,42,59,0,52,8.71
176,99,47,58,55,1,46,5.68
177,30,48,52,58,0,59,6.31
178,98,61,37,28,0,110,3.69
179,136,69,41,63,1,79,6.3
180,89,51,37,46,0,119,1.13
181,69,48,64,32,1,51,4.21
182,131,61,40,62,1,45,8.76
183,105,38,50,70,0,48,4.72
184,120,70,49,55,1,43,4.93
185,101,48,51,57,1,63,5.43
186,103,76,40,32,1,73,1.64
187,132,75,40,63,1,84,5.82
188,103,78,33,47,0,51,6.67
189,94,78,36,50,0,99,2.28
190,76,28,49,60,0,82,1.59
191,111,53,50,53,1,90,6.65
192,79,54,61,59,1,73,2.04
193,153,85,36,54,0,112,8.81
194,94,76,39,55,0,56,4.76
195,69,42,59,49,1,60,2.08
196,135,79,28,50,0,49,3.68
197,86,30,69,62,1,103,5.36
198,47,27,58,38,0,113,4.81
199,63,37,60,43,0,48,2.73
200,85,74,45,46,1,41,1.7
201,81,41,56,46,0,40,1.07
202,107,55,55,63,1,72,7.95
203,85,48,52,52,1,119,1.62
204,35,30,50,53,0,77,8.83
205,88,37,60,58,0,93,6.32
206,146,65,43,55,1,51,7.11
207,80,49,64,52,1,40,7.9
208,78,37,57,54,1,113,1.31
209,85,61,49,70,1,67,7.03
210,150,42,46,76,0,110,7.54
211,66,48,68,49,0,93,2.23
212,118,55,55,56,1,38,3.1
213,76,43,60,56,1,33,4.59
214,86,37,56,43,0,75,1.94
215,83,46,60,59,0,113,4.5
216,115,57,45,53,1,109,1.53
217,102,66,19,42,0,68,1.3
218,124,60,44,28,1,77,4.81
219,130,49,53,72,1,115,6.24
220,164,56,52,55,1,117,2.09
221,94,46,42,43,0,42,2.52
222,5,58,56,40,0,46,8.96
223,74,50,52,37,1,99,7.24
224,63,54,44,38,0,66,5.5
225,78,56,37,34,0,96,8.37
226,126,65,43,71,1,63,6.63
227,73,49,47,59,0,58,8.22
228,71,43,69,63,1,56,4.03
229,101,70,42,40,0,117,5.98
230,108,69,39,45,1,71,6.04
231,85,44,47,58,0,63,8.84
232,108,46,53,55,1,35,3.94
233,107,56,47,43,1,35,3.94
234,101,56,43,32,0,36,4.89
235,81,36,69,58,1,70,7.83
236,117,59,60,70,1,48,6.69
237,24,31,63,70,0,62,3.17
238,114,50,57,46,0,119,7.69
239,98,68,37,47,0,86,1.81
240,146,91,34,33,0,71,3.38
241,107,41,63,62,1,35,7.22
242,96,49,50,48,0,60,7.72
243,123,77,43,48,0,92,5.65
244,117,51,53,64,1,105,8.42
245,89,56,44,44,1,71,3.08
246,87,56,35,56,0,55,4.72
247,96,55,54,55,0,53,1.99
248,53,56,43,47,0,119,4.17
249,124,72,32,57,0,108,8.07
250,71,48,32,46,0,85,6.5
