visual_reaction_time,auditory_reaction_time,,
837.56,724.95,,319.59
749.89,627.24,,
850,800,,
559.28,481.45,,
850,800,,
837.01,697.95,,
760.11,617.77,,
736.35,620.2,,
570.69,500.19,,
850,727.1,,
744.95,611.51,,
418.41,338.9,,
850,800,,
850,800,,
850,800,,
850,800,,
850,800,,
850,800,,
850,770.65,,
750.72,635.01,,
685.87,607.93,,
850,791.5,,
741.64,647.96,,
777.78,668.63,,
553.05,496.62,,
522.13,505.63,,
430.25,361.55,,
648.97,551.41,,
828.84,711.72,,
633.16,506.82,,
463.54,410.75,,
850,691.69,,
850,740.99,,
850,758.85,,
850,800,,
594.15,498.56,,
569.28,514.81,,
850,770.72,,
667.33,554.15,,
850,800,,
850,800,,
626.61,525.54,,
850,763.98,,
850,800,,
599.75,499.69,,
850,800,,
476.93,411.31,,
551.34,497.3,,
685.5,612.53,,
850,693.98,,
724.57,628.67,,
519.09,430.96,,
850,800,,
664.04,590.05,,
590.5,530.18,,
850,800,,
850,800,,
850,773.06,,
841.64,697.17,,
792.4,724.56,,
709.17,597.26,,
640.75,481.05,,
679.45,589.2,,
620.46,532.09,,
850,800,,
807.42,676.13,,
567.13,466.88,,
850,800,,
663.77,565.96,,
850,775.11,,
711.14,589.36,,
850,800,,
850,800,,
675.56,629.63,,
850,773.43,,
781.88,639.77,,
634.76,516.17,,
706.44,568.94,,
850,800,,
454.68,404.55,,
850,800,,
489.67,380.68,,
518.74,423.74,,
850,800,,
779.85,656.98,,
836.65,695.88,,
492.12,447.15,,
761.95,616.62,,
848.36,733.55,,
640.2,509.66,,
847.93,701.42,,
850,781.61,,
850,800,,
719.77,659.48,,
834.83,767.75,,
850,800,,
850,800,,
850,800,,
747.55,683.23,,
850,798.37,,
561.66,456.15,,
660.26,572.41,,
445.04,443.81,,
850,800,,
696.06,526.1,,
637.59,500.39,,
850,708.92,,
530.32,414.74,,
762.76,564.55,,
850,800,,
850,800,,
585.76,480.03,,
477.8,423.32,,
637.93,551.67,,
612.21,524.5,,
707.6,613.07,,
850,800,,
376.12,318.76,,
694.83,539.45,,
571.15,442.86,,
850,800,,
850,692.61,,
850,797.38,,
