id,group,score
1,control,1
2,control,2
3,control,3
4,control,3
5,control,4
6,control,3
7,control,4
8,control,3
9,control,2
10,control,2
11,dessert,2
12,dessert,3
13,dessert,4
14,dessert,3
15,dessert,4
16,dessert,3
17,dessert,2
18,dessert,3
19,dessert,4
20,dessert,4
21,aperitif,1
22,aperitif,1
23,aperitif,1
24,aperitif,2
25,aperitif,1
26,aperitif,2
27,aperitif,3
28,aperitif,2
29,aperitif,1
30,aperitif,1
31,buttermint,4
32,buttermint,3
33,buttermint,4
34,buttermint,5
35,buttermint,5
36,buttermint,5
37,buttermint,4
38,buttermint,5
39,buttermint,5
40,buttermint,5
