store_type,customer_gender,clerk_gender,customer_service
computer,female,male,2
computer,female,female,1
computer,female,male,2
computer,female,female,1
computer,female,male,1
computer,female,female,1
computer,female,male,2
computer,male,female,4
computer,male,male,1
computer,male,female,3
computer,male,female,4
computer,male,male,3
computer,male,male,4
computer,male,female,2
computer,male,male,5
clothing,female,female,4
clothing,female,male,3
clothing,female,female,4
clothing,female,male,2
clothing,female,female,5
clothing,female,male,2
clothing,female,female,4
clothing,male,male,4
clothing,male,female,5
clothing,male,male,4
clothing,male,female,5
clothing,male,male,3
clothing,male,female,5
clothing,male,male,4
clothing,male,female,4
